Policy,Effectiveness,Impact on Labour Market
Ordered Closure of K-12 schools,-2,0
Closed daycares,-1,1
Banned visits to long-term care homes,-0.5,-0.5
Closed non-essential businesses,0,-1
Closed restaurants except take out,-0.5,0
Closed cannabis and liquor stores,-2.5,-2
Closed gyms,0.5,0.5
Closed movie theaters,0.5,-1.5
Froze evictions,0,0.5
Ordered freezing utility shut offs,0,1
Public Face Mask Mandate,2,-1.5
Employee Face Mask Mandate,0,-1.5
Travel Restriction,2.5,1
Large Gathering ban,1.5,1.5
Employee Screening,1,-1.5